names	fccommunity
TRIM23	4
UBE2D3	21
XPO5	1
YARS	3
ENSG00000206394	18
ENSG00000213007	22
ENSG00000078872	3
A2M	13
AASS	1
ABCB7	1
ACOT8	1
AKAP8L	1
ALDH18A1	1
ANKFY1	4
ARF4	1
ARHGEF2	1
ARL1	1
ATP1A1	1
C1QA	13
CCDC94	6
CCT6A	1
CDH1	12
CEPT1	1
CHD4	1
COIL	4
COPG1	1
COPG2	1
COPZ1	14
CTNNB1	22
CWF19L2	11
CYR61	1
DDX1	1
DEAF1	21
DHX15	1
EFTUD2	1
EIF4ENIF1	1
EP400	1
ERCC3	1
ERO1L	16
ETFA	1
F12	13
FAM58A	21
FBXO33	12
FBXW8	1
GAB1	25
GABRB1	7
GANAB	1
GBAS	22
GCDH	1
GP1BA	13
GP5	13
GP9	13
GTF3C1	1
GTF3C2	1
GTF3C3	1
GTF3C4	1
HDAC2	1
HELLS	1
HIGD1A	1
HLX	4
HMGB1	20
HNRNPL	6
HRK	19
IDH3A	1
IGF2BP1	1
IGF2BP2	1
IKBKB	12
ILVBL	1
IPO13	1
IPO9	1
IQGAP3	1
KLKB1	13
KNG1	13
MAP3K14	12
MAPK3	15
MAPKAP1	1
MAX	1
MMP14	13
MOGS	1
MRPS22	1
MRPS34	1
MSH3	1
NDUFA8	1
NEK9	15
NFKBIE	12
NFYB	21
NIPSNAP1	22
NPEPL1	14
NUP133	1
NUP153	1
PELO	1
POLE	1
PRCP	13
PRKCZ	22
PRKD1	15
PRRC2A	4
PTGES2	1
PTPN14	1
RAF1	1
RANBP2	1
RFC2	1
RFC3	1
RNGTT	1
RNH1	1
RPL28	3
RPL39P5	4
SERPING1	13
SET	22
SHOC2	1
SIRT1	20
SLC25A1	1
SLC25A11	1
SLC25A12	1
SLIT2	1
SMARCC1	1
SNRNP200	1
SOD1	23
SRSF1	6
SSR4	1
SUCLG1	1
TCP1	1
TEC	15
TOP1	1
TOP2A	1
TRIM28	1
TTC27	1
TUBGCP2	1
UBR2	1
WDR77	1
XRCC5	1
ZBTB44	21
ZNF121	1
ZNF281	1
ZNF608	13
ENSG00000214122	22
ENSG00000206427	4
ENSG00000157344	5
ENSG00000214133	1
GNB4	22
PGRMC1	22
RAB10	22
RAC1	22
RAP1A	22
ABCF2	3
AGPAT1	23
ALDH3A2	18
ANAPC10	14
ANAPC5	15
AP1S2	14
AP3B1	14
APLP1	24
ARHGAP12	14
ARHGAP21	14
ARIH1	3
ARMC3	14
ATG3	14
ATP2C1	14
ATP6V0A1	14
ATR	15
BCCIP	14
BMS1	3
BRMS1	21
BRSK1	3
BTAF1	20
BUB1B	20
CAPZA2	14
CBWD2	14
CBWD5	14
CBWD6	14
CDC123	3
CDC23	6
CDK11A	14
CDK12	15
CDX2	21
CEBPZ	3
CHCHD4	14
CHD9	6
CLEC4M	12
CLP1	6
CNDP2	23
CNOT2	14
COG4	14
COX17	24
COX6A1	18
CPSF2	6
CREBBP	21
CSF1	22
CSNK1D	15
CSNK1E	15
CSNK1G3	15
CTU2	14
CWC22	6
DCAF13	3
DCAKD	3
DCP2	3
DCPS	3
DDX24	3
DDX49	3
DDX54	3
DDX55	3
DDX56	3
DEPDC5	14
DHRS4	22
DIS3	3
DLEU1	24
DNAJC2	3
DNM1L	23
DNPEP	4
DOM3Z	3
DPH1	14
EEFSEC	22
EIF2A	3
EIF2AK4	15
EIF2B1	3
EIF2B2	3
EIF2B4	3
EIF2S2P4	3
EIF2S3	3
EIF5	3
ELOVL4	14
ELP3	20
EMG1	3
ERO1LB	3
ESF1	3
EXOC2	14
EXOC6	14
EXOSC1	3
EXOSC2	3
EXOSC3	3
EXOSC4	3
EXOSC5	3
FA2H	14
FAAH	12
FAM206A	14
FANCM	20
FAS	19
FAXDC2	14
FECH	12
FRY	20
FTSJ3	3
GADD45G	21
GDPD1	14
GLYR1	20
GTF2H3	20
H1FX	6
H3F3A	20
HCCS	14
HM13	20
HMGB1P1	20
HSD17B7	23
HSPE1	18
IBA57	14
ICK	6
ILF2	6
IMP3	3
ING1	20
ING3	20
INO80	20
IPO5	23
ITSN1	14
IVL	23
JAK2	15
KDELR1	14
KDM3A	22
KDM5B	20
KDM6A	17
KIF11	14
KTI12	20
LACE1	14
LAMA4	24
LAMTOR1	12
LAMTOR5	24
LARP7	3
LEO1	20
LHX9	14
LSM1	21
LSM4	6
LYAR	6
MAF1	20
MAP3K5	25
MCM6	20
MCUR1	14
METTL2B	14
METTL7A	12
MIOS	6
MKI67IP	3
MPHOSPH10	3
MRM1	14
MRPL15	3
MRPL2	3
MRPL23	14
MRPL3	14
MRPL34	14
MRVI1	12
MSH4	20
MTDH	12
MTHFR	4
MVK	14
MYD88	18
MYH11	22
NAA20	18
NALCN	20
NBEA	21
NDUFA10	12
NDUFA9	12
NDUFB4	12
NET1	3
NEURL1B	22
NIF3L1	4
NIP7	3
NNT	12
NOB1	3
NOC4L	3
NOP14	3
NOTCH1	21
NSDHL	14
NSUN2	3
NUBP1	14
NXPE2	16
OGDH	23
ORC2	20
ORC4	20
ORMDL3	14
PAF1	20
PAPD5	20
PAPSS1	18
PATL1	6
PCSK7	14
PDCD11	3
PDCL2	14
PDHA1	15
PDHB	24
PEX13	12
PFN2	24
PGP	18
PHACTR2	14
PIGB	14
PIGS	14
PIK3R4	25
PIKFYVE	22
PLAUR	13
PNO1	3
PNPLA7	3
POLA2	20
POLD2	20
POLR3A	20
POLR3C	20
POLR3F	20
POLR3K	20
PPA2	23
PPAN	3
PPCDC	18
PPP1CC	3
PPP1R12C	22
PPP1R3A	22
PPP2CA	22
PPP2CB	22
PPP2R1B	22
PPP2R2C	20
PPP2R5B	22
PPP6R1	23
PQBP1	6
PQLC1	14
PREPL	14
PRIM2	20
PRPF4	6
PSG9	13
PTPN4	24
PTPRCAP	25
PUS7	18
PYCRL	23
RAB27A	22
RAB43	6
RAB7A	14
RAD21	4
RAD51	21
RAD52	20
RANGAP1	6
RASA4B	14
RCL1	3
RECQL	20
REV1	20
RIOK2	3
RNF10	3
ROCK2	15
RPA2	20
RPAP2	6
RRP1B	3
RRP9	3
RRS1	3
RSRC1	6
SAE1	21
SBDS	20
SCO1	14
SDAD1	3
SDF4	12
SDHAF2	24
SEC31A	3
SERPINB9	24
SF3B3	6
SF3B4	6
SGPL1	14
SHBG	4
SKIV2L	3
SKIV2L2	13
SLC25A6	23
SLC30A1	14
SLC35F5	14
SLC36A1	14
SLC7A1	22
SLC9A3R1	12
SLMO2	14
SMEK2	20
SNRPG	6
SNX30	14
SNX8	14
SORCS2	14
SORT1	14
SOX6	20
SPATA13	14
SPIRE2	21
SRCAP	20
SRP68	14
SRP72	14
STK24	23
STK38L	14
STXBP2	14
SUPT4H1	20
SURF4	14
SYT6	14
TAF1	20
TAF2	20
TBL1XR1	21
TBL3	3
TCOF1	6
TECR	14
TEX10	3
TIA1	6
TIPRL	23
TM9SF1	12
TMPRSS3	14
TMSB4X	24
TNPO3	23
TOP2B	20
TOX3	20
TPR	2
TRAPPC2	14
TRAPPC5	14
TRDMT1	24
TRMU	20
TRUB1	14
TSR3	14
TTC37	3
TTLL12	21
TTLL9	21
TUBB1	23
TUBB8	12
TYW1	3
UBA2	14
UBR5	6
UBTF	6
UCKL1	14
ULK3	15
UQCRB	5
UTP11L	3
VBP1	20
VPS11	14
VPS4B	14
WDR3	3
WDR33	17
WDR45	14
WDR74	3
WDR82	17
ZBTB16	21
ZNF24	24
ZNF259	14
ZNF593	3
ENSG00000206346	3
ENSG00000186979	14
ENSG00000196285	20
ENSG00000206353	3
ENSG00000144158	6
ENSG00000100931	14
ENSG00000007816	3
ENSG00000164605	18
ENSG00000173867	14
ENSG00000136112	14
ENSG00000206300	15
ENSG00000188463	3
ENSG00000198641	14
ENSG00000206492	3
ENSG00000111987	6
ENSG00000213764	14
ENSG00000206255	23
ENSG00000204221	3
ENSG00000160220	3
ABCF3	23
EXOC1	4
GDI1	14
GRIA2	22
GRIN1	22
PEX7	12
RALA	22
SNAP25	22
STX12	14
ENSG00000215766	24
BLOC1S2	4
DLG4	22
MAPK7	14
PBX1	21
SEC61G	14
MRRF	4
NR6A1	21
RHOQ	22
RTN4IP1	4
VPS51	4
WASH3P	4
ZC3H14	4
ABT1	3
ACIN1	6
ADH5	18
BRIX1	3
BUD31	6
CALM1	22
CALM2	22
CALM3	22
CDC37	12
CDK2	15
CFLAR	19
CHD1	20
CIAO1	9
CSNK2A1	15
CTR9	13
DDX10	3
DDX21	6
DDX23	6
DDX51	3
DHX38	6
DNTTIP2	3
EIF2D	3
ELAVL1	6
FCF1	3
FOXK2	20
FTSJ1	18
GAR1	3
HAT1	20
HIST1H1C	6
HNRNPA3	6
IDH1	23
IDH2	23
ILK	4
LMX1A	21
LSM5	6
LSM6	6
LUC7L	6
MCRS1	4
MSMO1	14
MTOR	15
NAA10	20
NAPA	14
NFX1	6
NGDN	3
NLE1	3
NOP10	3
NSA2	3
PABPN1L	3
PACSIN3	13
PDP2	3
PIGO	14
PIN4	18
PMPCB	20
PPAT	3
PRPF31	6
RPL35	3
RRP15	3
SART1	6
SF3A2	6
SLC10A7	3
SMARCB1	20
SNRPN	6
SNURF	6
SURF6	20
TAF7L	20
TBC1D17	4
TUBA3C	12
TXNL4A	6
UPF1	6
USP15	20
UTP3	3
XAB2	6
ZCCHC10	6
ZNF622	3
ENSG00000206406	15
ENSG00000206267	3
ENSG00000170089	20
GNAQ	22
PICK1	22
TUBA8	12
AAK1	15
ACP1	18
ADSS	18
AIMP1	23
AKR1B1	18
ANKHD1	12
APRT	23
ATP5F1	23
AURKB	15
BCAP31	19
BPNT1	18
BRD3	15
C11orf58	18
CAMK2A	15
CAMK2B	15
CAMK2G	15
CAMKK2	15
CAPZA1	18
CASP7	19
CCDC58	18
CDC42BPA	15
CDKN2A	21
CISD2	25
COPS2	21
COTL1	18
COX4I1	18
DCTN2	22
DDT	18
DSP	12
DSTN	4
ECHS1	18
EIF4H	3
EMC3	18
EPHA7	15
ERP29	18
ETF1	13
ETFB	18
EZR	19
FAM162A	7
FAM49B	18
FBXW11	12
FER	15
FH	23
FKBP5	12
GARS	23
GLO1	18
GLRX3	23
GNB2	22
GSK3A	15
HADHA	18
HMGCS1	23
HPRT1	18
INSR	15
IRF3	25
IRF5	18
ISYNA1	17
JAK1	15
LAGE3	18
LGALS3BP	13
LSM12	3
LTA4H	18
LYPLA1	11
MAD2L1	20
MAP2K2	15
MAP3K11	15
MAP3K2	15
MAPK9	15
MAPRE1	20
MARK2	15
MARK3	15
MAVS	12
MLEC	18
MRPL14	18
MRPS14	4
MSN	19
MTPN	18
NAA15	18
NARS	23
NASP	16
NEK11	15
NTMT1	18
NUDT21	6
PA2G4	18
PAK1	19
PCBP1	1
PDCD5	18
PDCD6IP	4
PDIA4	18
PDIA6	22
PDPK1	15
PFDN1	24
PFDN5	20
PFKL	22
PGRMC2	18
PHB2	18
PHKG2	15
PITPNB	18
PLK4	15
PPIB	18
PPP4C	4
PRKAA1	15
PRKCSH	18
PSME3	23
PTGES3	12
RAB11A	22
RAB14	18
RAB5A	14
RAB5C	18
RANBP1	18
RARS	22
RBM8A	6
RHOC	18
RPN1	1
RPS6KA3	15
RPS6KA4	15
RRM1	20
SDHA	18
SDHB	18
SFXN1	18
SND1	18
SNRPA1	6
SNRPB2	6
SNX3	14
SSB	15
SSR1	4
ST13	13
STK16	15
STK4	15
STRAP	6
SYNCRIP	22
TAGLN2	18
TANK	15
TBCA	20
TBK1	15
TBKBP1	15
TBR1	4
TFAM	10
TFRC	18
THOP1	24
TMEM189-UBE2V1	18
TMEM33	22
TOMM34	18
TPD52	22
TPM3	12
TPM3P4	12
TPT1	23
TSN	18
TSNAX	21
TYK2	15
UBE2I	21
UGGT1	18
VMA21	18
ENSG00000099964	18
ENSG00000144785	18
ENSG00000147507	15
ENSG00000183093	3
ENSG00000168775	18
ENSG00000206088	21
ENSG00000115128	6
ENSG00000159186	23
ENSG00000166998	18
ASCC2	4
CACNB4	22
CBX4	21
CCT7	14
CPE	22
EPN1	21
GCOM1	6
GSTM4	10
HNRNPUL1	6
HSPB3	24
HTT	24
LEPRE1	6
LYPLA2	6
MAFG	21
MED12L	6
MOB4	22
