"names"	"fccommunity"
"789"	"ZBTB9"	"6"
"790"	"ZC3H15"	"2"
"791"	"ZFAND5"	"12"
"792"	"ZNF385A"	"12"
"793"	"ZNF827"	"12"
"794"	"ZRANB1"	"12"
"795"	"ENSG00000206212"	"16"
"796"	"ENSG00000215328"	"12"
"797"	"ENSG00000173534"	"16"
"798"	"ENSG00000182498"	"16"
"799"	"ENSG00000182754"	"3"
"800"	"ENSG00000013455"	"16"
"801"	"ENSG00000196501"	"20"
"802"	"ENSG00000182953"	"3"
"803"	"ENSG00000215769"	"1"
"804"	"ENSG00000212866"	"12"
"805"	"ENSG00000206380"	"12"
"806"	"ENSG00000206279"	"21"
"807"	"ENSG00000213555"	"16"
"808"	"ENSG00000188170"	"13"
"809"	"ENSG00000112727"	"16"
"810"	"ENSG00000206313"	"4"
"811"	"ENSG00000174766"	"3"
"812"	"ENSG00000197597"	"20"
"813"	"ENSG00000212695"	"3"
"814"	"ENSG00000130041"	"3"
"815"	"ENSG00000212664"	"3"
"816"	"ENSG00000171032"	"21"
"817"	"ENSG00000137379"	"14"
"818"	"ENSG00000215412"	"16"
"819"	"ENSG00000115254"	"23"
"820"	"ENSG00000125385"	"3"
"821"	"ENSG00000206271"	"12"
"822"	"ENSG00000146677"	"3"
"823"	"ENSG00000121031"	"15"
"824"	"ENSG00000206254"	"12"
"825"	"ENSG00000096155"	"4"
"826"	"ENSG00000196656"	"16"
"827"	"ENSG00000185637"	"14"
"828"	"ENSG00000138396"	"3"
"829"	"ENSG00000206206"	"21"
"830"	"ENSG00000096150"	"3"
"831"	"ENSG00000183311"	"14"
"832"	"ENSG00000215425"	"16"
"833"	"ENSG00000124642"	"20"
"834"	"ENSG00000170847"	"16"
"835"	"ENSG00000214225"	"4"
"836"	"ENSG00000175333"	"3"
"837"	"ENSG00000096171"	"23"
"838"	"ENSG00000176534"	"3"
"839"	"ENSG00000196681"	"3"
"840"	"ENSG00000198637"	"3"
"841"	"BRCA1"	"21"
"842"	"MYBL2"	"21"
"843"	"SYK"	"15"
"844"	"USP1"	"4"
"845"	"USP2"	"12"
"846"	"ANKRD20A11P"	"12"
"847"	"CDC42"	"22"
"848"	"CKS2"	"14"
"849"	"DCUN1D1"	"21"
"850"	"FHL1"	"18"
"851"	"GRAP"	"14"
"852"	"HAS1"	"14"
"853"	"HAS3"	"14"
"854"	"HDAC1"	"1"
"855"	"JMY"	"21"
"856"	"KIF23"	"12"
"857"	"KLHL8"	"18"
"858"	"KRAS"	"25"
"859"	"NEDD4L"	"25"
"860"	"NXF1"	"6"
"861"	"PEX14"	"12"
"862"	"POLR3G"	"20"
"863"	"POTEH"	"12"
"864"	"POTEI"	"12"
"865"	"POTEM"	"12"
"866"	"PRPF8"	"6"
"867"	"SIN3A"	"21"
"868"	"SPTLC1"	"1"
"869"	"STUB1"	"12"
"870"	"XRN1"	"1"
